Journal name,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,1542-4863,ONCOLOGY,SCIE,"71,799",232.4,Q1,120.89,100.0
NATURE REVIEWS MICROBIOLOGY,1740-1526,1740-1534,MICROBIOLOGY,SCIE,"61,109",103.3,Q1,9.87,2.05
NATURE REVIEWS DRUG DISCOVERY,1474-1776,1474-1784,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"52,833",101.8,Q1,13.97,6.48
NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,1471-0080,CELL BIOLOGY,SCIE,"73,135",90.2,Q1,7.95,0.0
Kidney International Supplements,2157-1724,2157-1716,UROLOGY & NEPHROLOGY,SCIE,"3,196",89.6,Q1,5.97,0.0
LANCET,0140-6736,1474-547X,"MEDICINE, GENERAL & INTERNAL",SCIE,"347,563",88.5,Q1,23.29,25.18
Nature Reviews Clinical Oncology,1759-4774,1759-4782,ONCOLOGY,SCIE,"33,355",83.2,Q1,12.02,1.49
NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,1533-4406,"MEDICINE, GENERAL & INTERNAL",SCIE,"397,323",78.5,Q1,23.28,1.45
NATURE REVIEWS CANCER,1474-175X,1474-1768,ONCOLOGY,SCIE,"60,054",66.8,Q1,9.04,1.36
World Psychiatry,1723-8617,2051-5545,PSYCHIATRY,"SCIE, SSCI","13,954",65.8,Q1,12.16,1.61
ANNALS OF ONCOLOGY,0923-7534,1569-8041,ONCOLOGY,SCIE,"64,093",65.4,Q1,8.36,33.87
NATURE REVIEWS IMMUNOLOGY,1474-1733,1474-1741,IMMUNOLOGY,SCIE,"64,754",60.9,Q1,7.86,1.79
Nature Reviews Disease Primers,2056-676X,2056-676X,"MEDICINE, GENERAL & INTERNAL",SCIE,"37,841",60.6,Q1,21.23,0.92
MMWR Recommendations and Reports,1057-5987,1545-8601,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,"3,411",60.1,Q1,10.96,50.0
Nature Reviews Methods Primers,,2662-8449,MULTIDISCIPLINARY SCIENCES,SCIE,"9,349",56.0,Q1,8.32,6.37
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,1538-3598,"MEDICINE, GENERAL & INTERNAL",SCIE,"194,087",55.0,Q1,11.49,2.61
Signal Transduction and Targeted Therapy,2095-9907,2059-3635,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"51,196",52.7,Q1,5.03,100.0
NATURE REVIEWS GENETICS,1471-0056,1471-0064,GENETICS & HEREDITY,SCIE,"42,931",52.0,Q1,6.67,2.7
Nature Reviews Gastroenterology & Hepatology,1759-5045,1759-5053,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"30,358",51.6,Q1,8.3,0.69
NATURE MEDICINE,1078-8956,1546-170X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"133,694",50.0,Q1,11.04,55.96
MMWR Surveillance Summaries,1545-8636,1545-8636,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,"3,499",49.8,Q1,16.3,47.62
NATURE,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES,SCIE,"965,275",48.5,Q1,11.14,45.54
SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES,SCIE,"785,913",45.8,Q1,9.02,8.41
LANCET NEUROLOGY,1474-4422,1474-4465,CLINICAL NEUROLOGY,SCIE,"52,666",45.5,Q1,12.25,11.06
CANCER CELL,1535-6108,1878-3686,CELL BIOLOGY,SCIE,"56,241",44.5,Q1,8.07,31.56
Nature Reviews Cardiology,1759-5002,1759-5010,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"22,153",44.2,Q1,8.35,3.38
JOURNAL OF CLINICAL ONCOLOGY,0732-183X,1527-7755,ONCOLOGY,SCIE,"169,483",43.4,Q1,6.77,24.89
BMJ-British Medical Journal,0959-535X,1756-1833,"MEDICINE, GENERAL & INTERNAL",SCIE,"173,910",43.0,Q1,10.0,67.74
CELL,0092-8674,1097-4172,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"310,873",42.5,Q1,8.02,34.44
NATURE BIOTECHNOLOGY,1087-0156,1546-1696,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"100,474",41.7,Q1,8.62,38.7
